PROFESION;SEDE DE ADJUDICACIÓN;N° PLAZAS;"DIRESA
GERESA
DIRIS";INSTITUCION;DEPARTAMENTO;PROVINCIA;DISTRITO;GRADO DE DIFICULTAD;CODIGO;NOMBRE DE ESTABLECIMIENTO;CATEGORIA;PRESUPUESTO;ZAF (*);ZE (**);norte;este;direccion
BIOLOGIA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;CONDORCANQUI;NIEVA;GD-4;5145;SANTA MARIA DE NIEVA;II-1;SIN PRESUPUESTO;SI;NO;-46000761;-7786555388;CALLE PRINCIPAL S/N - URBANIZACIÓN JUAN VELAZCO  -  CIUDAD SANTA MARIA DE NIEVA
BIOLOGIA;SEDE CENTRAL;1;AMAZONAS;SANIDAD DE LA POLICIA NACIONAL DEL PERU;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;GD-2;35992;POLICLINICO POLICIAL CHACHAPOYAS;I-3;SIN PRESUPUESTO;NO;NO;0;0;LA MERCED
BIOLOGIA;SEDE CENTRAL;2;AMAZONAS;SANIDAD DE LA POLICIA NACIONAL DEL PERU;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;GD-3;18106;POLICLINICO POLICIAL BAGUA GRANDE;I-3;SIN PRESUPUESTO;NO;NO;-575691735;-784404681;JOSE SANTOS CHOCANO 155
BIOLOGIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;CASMA;CASMA;GD-2;1719;HOSPITAL DE APOYO CASMA;II-1;SIN PRESUPUESTO;NO;NO;-947397062;-7830498052;GARCILAZO DE LA VEGA
BIOLOGIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;SANTA;CHIMBOTE;GD-3;1659;CENTRO DE SALUD PROGRESO;I-4;SIN PRESUPUESTO;NO;NO;-906722886;-7858748786;AV. JOSE GALVES Nº 1110
BIOLOGIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;SANTA;NUEVO CHIMBOTE;GD-1;1704;CENTRO DE SALUD YUGOSLAVIA;I-4;SIN PRESUPUESTO;NO;NO;-91323422;-7851919552;AV. SAUCES S/N  NUEVO CHIMBOTE
BIOLOGIA;SEDE CENTRAL;2;ANCASH;SANIDAD DE LA POLICIA NACIONAL DEL PERU;ANCASH;HUARAZ;HUARAZ;GD-3;10205;POLICLINICO PNP HUARAZ;I-3;SIN PRESUPUESTO;NO;NO;-952675951;-7752653687;AV. GAMARRA S/N HUARAZ
BIOLOGIA;SEDE CENTRAL;1;ANCASH;SANIDAD DE LA POLICIA NACIONAL DEL PERU;ANCASH;SANTA;CHIMBOTE;GD-3;17690;POLICLINICO PNP CHIMBOTE;I-3;SIN PRESUPUESTO;NO;NO;-90746192;-78595333;PARDO 292
BIOLOGIA;SEDE CENTRAL;1;APURIMAC;GOBIERNO REGIONAL;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;GD-4;6804;ANDAHUAYLAS;I-3;SIN PRESUPUESTO;NO;NO;-1366157116;-7339252936;AV. LOS CHANKAS 439
BIOLOGIA;SEDE CENTRAL;1;APURIMAC;SANIDAD DE LA POLICIA NACIONAL DEL PERU;APURIMAC;ABANCAY;ABANCAY;GD-4;8036;POLICLINICO POLICIAL ABANCAY;I-3;SIN PRESUPUESTO;NO;NO;-1363107169;-7288813747;JR. SANIDAD S/N BARRIO POLICIAL VILLA AMPAY
BIOLOGIA;SEDE CENTRAL;1;AREQUIPA;GOBIERNO REGIONAL;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;GD-2;1291;CENTRO DE SALUD ALTO SELVA ALEGRE;I-3;SIN PRESUPUESTO;NO;NO;-1638123178;-715188428;AVENIDA ESPAÑA 301
BIOLOGIA;SEDE CENTRAL;1;AREQUIPA;GOBIERNO REGIONAL;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;GD-2;1300;CENTRO DE SALUD APURIMAC;I-3;SIN PRESUPUESTO;NO;NO;-1637219268;-7150965501;CALLE HUARAZ S/N ESQUINA CON CALLE 22 DE FEBRERO PPJJ APURIMAC
BIOLOGIA;SEDE CENTRAL;1;AREQUIPA;GOBIERNO REGIONAL;AREQUIPA;AREQUIPA;ALTO SELVA ALEGRE;GD-2;1302;CENTRO DE SALUD INDEPENDENCIA;I-3;SIN PRESUPUESTO;NO;NO;-163666543;-715249147;AVENIDA FRANCISCO MOSTAJO 601
BIOLOGIA;SEDE CENTRAL;1;AREQUIPA;GOBIERNO REGIONAL;AREQUIPA;AREQUIPA;CAYMA;GD-3;1234;CENTRO DE SALUD FRANCISCO BOLOGNESI;I-3;SIN PRESUPUESTO;NO;NO;-1635485264;-7154222177;CALLE 20 DE ABRIL 204 P.J. FCO. BOLOGNESI
BIOLOGIA;SEDE CENTRAL;1;AREQUIPA;GOBIERNO REGIONAL;AREQUIPA;AREQUIPA;CAYMA;GD-2;6890;PUESTO DE SALUD RAFAEL BELAUNDE;I-3;SIN PRESUPUESTO;NO;NO;-1633187701;-7154216498;URBANIZACION BELAUNDE ZONA B MANZANA U LOTE 9
BIOLOGIA;SEDE CENTRAL;1;AREQUIPA;GOBIERNO REGIONAL;AREQUIPA;AREQUIPA;CERRO COLORADO;GD-2;1248;CENTRO DE SALUD ALTO LIBERTAD;I-3;SIN PRESUPUESTO;NO;NO;-1638425942;-7157119329;"ESQUINA JIRON MIGUEL GRAU AREQUIPA, ZONA ""A"" COMITE ""Z"" PUEBLO JOVEN ALTO LIBERTAD"
