PROFESION;SEDE DE ADJUDICACIÓN;N° PLAZAS;"DIRESA
GERESA
DIRIS";INSTITUCIÓN;DEPARTAMENTO;PROVINCIA;DISTRITO;GRADO DE DIFICULTAD;"CODIGO
RENIPRESS
MODULAR";NOMBRE DE ESTABLECIMIENTO;CATEGORIA;PRESUPUESTO;ZAF (*);ZE (**);norte;este;direccion
BIOLOGIA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;BAGUA;IMAZA;GD-5;00005070;IMAZA;I-3;NACIONAL;SI;NO;-505830398;-7833673233;CENTRO POBLADO IMACITA S/N
BIOLOGIA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;BONGARA;JAZAN;GD-2;00004922;PEDRO RUIZ GALLO;I-4;NACIONAL;NO;NO;-594356629;-7797722101;JIRÓN JUAN ZUMARÁN PASTOR S/N - PEDRO RUIZ GALLO
BIOLOGIA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;GD-4;00004954;ZARUMILLA;I-3;NACIONAL;NO;NO;-656652485;-7738057225;AV. PRINCIPAL S/N - ANEXO ZARUMILLA
BIOLOGIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;CASMA;BUENA VISTA ALTA;GD-3;00001723;CENTRO DE SALUD BUENAVISTA;I-3;NACIONAL;NO;NO;-943233254;-7820686282;CALLE BOLOGNESI S/N CASCA URBANO
BIOLOGIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;CASMA;YAUTAN;GD-3;00001728;CENTRO DE SALUD YAUTAN;I-4;NACIONAL;NO;NO;-951195923;-7799678631;AV. CASMA S/N YAUTAN
BIOLOGIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;POMABAMBA;POMABAMBA;GD-4;00001765;"HOSPITAL DE APOYO DE POMABAMBA ""ANTONIO CALDAS DOMINGUEZ""";II-1;NACIONAL;NO;NO;-881402076;-774641063;AV. SEÑOR DE LOS MILAGROS S/N - HUAJTACHACRA
BIOLOGIA;SEDE CENTRAL;1;ANCASH;GOBIERNO REGIONAL;ANCASH;SANTA;MORO;GD-2;00001716;CENTRO DE SALUD MORO;I-3;NACIONAL;NO;NO;-913980296;-7818465623;AV. INDEPENDENCIA
BIOLOGIA;SEDE CENTRAL;1;APURIMAC;GOBIERNO REGIONAL;APURIMAC;ANDAHUAYLAS;PACUCHA;GD-4;00004189;PACUCHA;I-4;NACIONAL;NO;NO;-1360911902;-7334093778;AV.ALMANZA OCAMPO
BIOLOGIA;SEDE CENTRAL;1;APURIMAC;GOBIERNO REGIONAL;APURIMAC;ANDAHUAYLAS;TALAVERA;GD-4;00004195;TALAVERA;I-4;NACIONAL;NO;NO;-1365920002;-7342997622;INCA GARCILAZO DE LA VEGA S/N TALAVERA
BIOLOGIA;SEDE CENTRAL;1;APURIMAC;GOBIERNO REGIONAL;APURIMAC;ANTABAMBA;JUAN ESPINOZA MEDRANO;GD-4;00002558;MOLLEBAMBA;I-3;NACIONAL;NO;NO;-1442863956;-7291549172;SECTOR MOLLEBAMBA S/N
