"INSTITUCIÓN
OFERTANTE";PROFESIÓN;"SEDE DE
ADJUDICACIÓN";"N°
PLAZAS";"DIRESA
GERESA
DIRIS";INSTITUCIÓN;DEPARTAMENTO;PROVINCIA;DISTRITO;"GRADO DE
DIFICULTAD";"CÓDIGO
RENIPRESS";"NOMBRE DE
ESTABLECIMIENTO";CATEGORÍA;PRESUPUESTO;ZAF;ZE
AMAZONAS;BIOLOGIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;BAGUA;BAGUA;GD-2;00006998;BAGUA;I-3;"SIN
PRESUPUESTO";NO;NO
AMAZONAS;BIOLOGIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;"CONDORCANQU
I";NIEVA;GD-4;00005145;"SANTA MARIA DE
NIEVA";II-1;"SIN
PRESUPUESTO";SI;NO
AMAZONAS;ENFERMERIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;BAGUA;BAGUA;GD-3;00007300;NARANJOS;I-1;"SIN
PRESUPUESTO";NO;NO
AMAZONAS;ENFERMERIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;BAGUA;COPALLIN;GD-3;00005064;PAN DE AZUCAR;I-1;"SIN
PRESUPUESTO";NO;NO
AMAZONAS;ENFERMERIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;BAGUA;EL PARCO;GD-4;00007758;UNION PROGRESO;I-1;"SIN
PRESUPUESTO";NO;NO
AMAZONAS;ENFERMERIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;"CONDORCANQU
I";NIEVA;GD-5;00005157;NUEVO SEASME;I-1;"SIN
PRESUPUESTO";SI;NO
AMAZONAS;MEDICINA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;"CONDORCANQU
I";NIEVA;GD-4;00007134;NIEVA;I-3;"SIN
PRESUPUESTO";SI;NO
AMAZONAS;PSICOLOGIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;BAGUA;BAGUA;GD-2;00006998;BAGUA;I-3;"SIN
PRESUPUESTO";NO;NO
AMAZONAS;PSICOLOGIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;"CONDORCANQU
I";NIEVA;GD-4;00007134;NIEVA;I-3;"SIN
PRESUPUESTO";SI;NO
AMAZONAS;PSICOLOGIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;"CONDORCANQU
I";NIEVA;GD-4;00005145;"SANTA MARIA DE
NIEVA";II-1;"SIN
PRESUPUESTO";SI;NO
