"NOTA:
* BONO ZAF: Se otorga a los profesionales que adjudiquen una plaza en los Establecimientos de Salud señalados en la Resolución Ministerial N° 544-2014-MINSA y Resolución Ministerial N° 482-2017-DE/MGP.
**BONO ZE: Se otorga a los profesionales que adjudican una plaza en los Establecimientos de Salud ubicados en el Valle de los Ríos Apurímac, Ene y Mantaro (VRAEM), en tanto se mantenga dicha calidad de acuerdo a la normatividad vigente; así como a los puestos ubicados en las zonas declaradas en emergencia por circunstancias similares a las del VRAEM, conforme la vigencia de las normas que así los declaren.";;;;;;;;;;;;;;;
"INSTITUCIÓN
OFERTANTE";PROFESIÓN;"SEDE DE
ADJUDICACIÓN";"N°
PLAZAS";DIRESA GERESA DIRIS;INSTITUCIÓN;DEPARTAMENTO;PROVINCIA;DISTRITO;GRADO DE DIFICULTAD;"CÓDIGO
RENIPRESS";NOMBRE DE ESTABLECIMIENTO;CATEGORÍA;PRESUPUESTO;"ZAF
(*)";"ZE
(**)"
AMAZONAS;ENFERMERIA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;BAGUA;ARAMANGO;GD-4;00005055;COPALLIN DE ARAMANGO;I-2;REGIONAL;NO;NO
AMAZONAS;ENFERMERIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;BONGARA;FLORIDA;GD-4;00004934;GUALULO;I-1;REGIONAL;NO;NO
AMAZONAS;ENFERMERIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;LUYA;OCUMAL;GD-5;00007244;"VISTA HERMOSA
DE OCUMAL";I-1;REGIONAL;SI;NO
AMAZONAS;ENFERMERIA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;LUYA;PROVIDENCIA;GD-4;00004849;PROVIDENCIA;I-2;REGIONAL;SI;NO
AMAZONAS;ENFERMERIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;LUYA;"SANTA
CATALINA";GD-5;00004914;INGENIO;I-1;REGIONAL;SI;NO
AMAZONAS;ENFERMERIA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;GD-4;00011725;JAVRULOT;I-1;REGIONAL;SI;NO
AMAZONAS;ENFERMERIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;"RODRIGUEZ DE
MENDOZA";OMIA;GD-4;00004946;OMIA;I-3;REGIONAL;NO;NO
AMAZONAS;ENFERMERIA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;RODRIGUEZ DE MENDOZA;VISTA ALEGRE;GD-4;00007054;EL DORADO;I-2;REGIONAL;SI;NO
AMAZONAS;ENFERMERIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;UTCUBAMBA;CAJARURO;GD-3;00005094;MISQUIYACU ALTO;I-1;REGIONAL;NO;NO
AMAZONAS;ENFERMERIA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;UTCUBAMBA;LONYA GRANDE;GD-3;00005120;LONYA GRANDE;I-3;REGIONAL;NO;NO
AMAZONAS;ENFERMERIA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;UTCUBAMBA;YAMON;GD-4;00005115;"VISTA ALEGRE DE
YAMON";I-3;REGIONAL;SI;NO
AMAZONAS;MEDICINA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;BAGUA;ARAMANGO;GD-4;00005056;EL MUYO;I-3;REGIONAL;NO;NO
AMAZONAS;MEDICINA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;BAGUA;ARAMANGO;GD-4;00005059;TUTUMBEROS;I-2;REGIONAL;NO;NO
AMAZONAS;MEDICINA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;BAGUA;BAGUA;GD-2;00007276;LA PRIMAVERA;I-2;REGIONAL;NO;NO
AMAZONAS;MEDICINA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;BAGUA;IMAZA;GD-5;00005070;IMAZA;I-3;REGIONAL;SI;NO
AMAZONAS;MEDICINA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;BAGUA;IMAZA;GD-5;00005089;WAWAS;I-2;REGIONAL;SI;NO
AMAZONAS;MEDICINA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;BONGARA;"YAMBRASBAMB
A";GD-4;00004936;PROGRESO;I-2;REGIONAL;NO;NO
AMAZONAS;MEDICINA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;CHACHAPOYAS;CHILIQUIN;GD-4;00004879;VITUYA;I-2;REGIONAL;NO;NO
AMAZONAS;MEDICINA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;CHACHAPOYAS;QUINJALCA;GD-4;00004872;QUINJALCA;I-2;REGIONAL;NO;NO
AMAZONAS;MEDICINA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;CONDORCANQU I;RIO SANTIAGO;GD-5;00005175;GALILEA;I-3;REGIONAL;SI;NO
AMAZONAS;MEDICINA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;LUYA;"CAMPORREDON
DO";GD-4;00004873;"CAMPORREDOND
O";I-3;REGIONAL;SI;NO
AMAZONAS;MEDICINA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;LUYA;CAMPORREDON DO;GD-5;00004874;COCOCHO;I-3;REGIONAL;SI;NO
"INSTITUCIÓN
OFERTANTE";PROFESIÓN;"SEDE DE
ADJUDICACIÓN";"N°
PLAZAS";DIRESA GERESA DIRIS;INSTITUCIÓN;DEPARTAMENTO;PROVINCIA;DISTRITO;GRADO DE DIFICULTAD;"CÓDIGO
RENIPRESS";NOMBRE DE ESTABLECIMIENTO;CATEGORÍA;PRESUPUESTO;"ZAF
(*)";"ZE
(**)"
AMAZONAS;MEDICINA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;LUYA;OCUMAL;GD-5;00004844;SAN JUAN DE OCUMAL;I-2;REGIONAL;SI;NO
AMAZONAS;MEDICINA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;LUYA;"SANTA
CATALINA";GD-5;00004913;SALAZAR;I-3;REGIONAL;NO;NO
AMAZONAS;MEDICINA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;LUYA;TRITA;GD-5;00004855;TRITA;I-1;REGIONAL;NO;NO
AMAZONAS;MEDICINA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;GD-4;00004947;NUEVO CHIRIMOTO;I-3;REGIONAL;NO;NO
AMAZONAS;MEDICINA;"SEDE
CENTRAL";1;AMAZONAS;"GOBIERNO
REGIONAL";AMAZONAS;"RODRIGUEZ DE
MENDOZA";VISTA ALEGRE;GD-4;00007054;EL DORADO;I-2;REGIONAL;SI;NO
AMAZONAS;MEDICINA;SEDE CENTRAL;1;AMAZONAS;GOBIERNO REGIONAL;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;GD-3;00005126;MIRAFLORES;I-3;REGIONAL;NO;NO
